Electorate,PollingPlaceName,VenueName,Address,Locality
Burwood,Glen Iris,St Oswald's Church Hall,96 High St       ,Glen Iris
Burwood,Glen Iris South,Solway Primary School,Winton Rd        ,Ashburton
Burwood,Hartwell,Hartwell Primary School,Milverton St        ,Camberwell
Burwood,Highfield,St Dominic's Parish Primary School,145 Highfield Rd       ,Camberwell
Burwood,Jordanville South,St Mary Magdalen's School,20 Bolwarra St       ,Chadstone
Burwood,Starling,St Scholastica's Community Centre,43198 Starling St       ,Burwood
Burwood,Surrey Hills,Surrey Hills Uniting Church Hall,corner Canterbury Rd and Valonia Ave    ,Surrey Hills
Burwood,Wattle Park,9th Box Hill Scouts,1228 Riversdale Rd       ,Box Hill South
Carrum,Banyan Fields,Banyan Fields Primary School,90 Cadles Rd       ,Carrum Downs
Carrum,Belvedere Park,Belvedere Park Primary School,30 Belvedere Rd       ,Seaford
Carrum,Bonbeach,Bonbeach Primary School,29-63 Breeze St       ,Bonbeach
Carrum,Carrum,Carrum Primary School,Walkers Rd (access via Valetta Street)    ,Carrum
Carrum,Carrum Downs,Carrum Downs Secondary College,corner McCormicks and Brunnings Roads     ,Carrum Downs
Carrum,Carrum Downs Central,St Joachim's Catholic Primary School,25 Broderick Rd       ,Carrum Downs
Carrum,Chelsea Central,Chelsea Primary School,34-44 Argyle Ave       ,Chelsea
Carrum,Kananook,Kananook Primary School,22 Wells Rd (access via Lyster Close)   ,Seaford
Carrum,Lyrebird,Lyrebird Community Centre,203 Lyrebird Drive       ,Carrum Downs
Carrum,Patterson Lakes,Patterson Lakes Community Centre,54-70 Thompsons Rd       ,Patterson Lakes
Carrum,Rowellyn Park,Rowellyn Park Primary School,corner Tattler St and Rowellyn Ave    ,Carrum Downs
Carrum,Seaford,Seaford Primary School,McRae St        ,Seaford
Carrum,Seaford North,Seaford North Primary School,Hallifax St        ,Seaford
Carrum,Skye,Skye Primary School,395 Ballarto Rd       ,Skye
Caulfield,Bundeera,Caulfield South Primary School,Bundeera Rd        ,Caulfied South
Caulfield,Caulfield East,Glen Eira College,76 Booran Rd       ,Caulfield East
Caulfield,Caulfield North,Caulfield Indonesian Uniting Church Hall,158 Balaclava Rd       ,Caulfield North
Caulfield,Caulfield South,4th Caulfield Scout Hall,1a Birch St       ,Caulfield South
Caulfield,Caulfield Upper,St Aloysius Primary School Hall,Catherine St        ,Caulfield
Caulfield,Caulfield West,St Mary's Anglican Church Hall,281 Glen Eira Rd      ,Caulfield North
Caulfield,Clarence,St Catherine's Anglican Church,406 Kooyong Rd       ,Caulfied South
Caulfield,Elsternwick,Wesley College Elsternwick Campus,5 Gladstone Pde (access via Carlington Street)   ,Elsternwick
Caulfield,Elsternwick North,12th Caulfield Scout Hall,1 Beavis St       ,Elsternwick
Caulfield,Glen Eira,Glen Eira Town Hall - Auditorium,416-428 Glen Eira Rd      ,Caulfield
Caulfield,Glenhuntly East,Glen Huntly  Primary School,Grange Rd        ,Glen Huntly
Caulfield,Ormond,Katandra School,2 Walsh St       ,Ormond
Caulfield,Ripponlea East,Ripponlea Primary School,Carrington Grove        ,St Kilda East
Caulfield,St Kilda,St Kilda Town Hall,corner Carlisle St and Brighton Rd    ,St Kilda
Clarinda,Cheltenham East,Cheltenham East Primary School,Silver St        ,Cheltenham
Clarinda,Cheltenham North,Cheltenham Secondary College,73 Bernard St       ,Cheltenham
Clarinda,Clarinda,Clarinda Presbyterian Church Hall,9 Eulinga Rd       ,Clarinda
Clarinda,Clarinda South,Sundowner Neighbourhood House,24 Sundowner Ave (access via Jacobs Drive)   ,Clarinda
Clarinda,Clayton,Fregon Hall,43198 Fregon Rd       ,Clayton
Clarinda,Clayton East,Clayton Senior Citizens Club,19 Mary St       ,Clayton
Clarinda,Clayton North,Monash Uniting Church Hall,1939 Dandenong Rd       ,Clayton
Clarinda,Clayton South,Clayton South Primary School,539 Clayton Rd       ,Clayton South
Clarinda,Coatesville,Coatesville Primary School,21 Mackie Rd       ,Bentleigh East
Clarinda,Davies Reserve,Wirringga Scout Hall,Talbot Ave        ,Oakleigh South
Clarinda,Heatherton North,Washington Drive Pre-School,3 Washington Drive       ,Oakleigh South
Clarinda,Hughesdale South,Coatesville Uniting Church Hall,corner Mackie and North Roads     ,East Bentleigh
Clarinda,Kingston Heath,Kingston Heath Primary School,25 Farm Rd       ,Cheltenham
Clarinda,Oakleigh South,Oakleigh South Primary School,Riley St        ,Oakleigh South
Clarinda,Spring Valley,Spring Parks Primary School - Valley Campus,27-39 Clarke Rd       ,Springvale South
Clarinda,Springvale,Springvale Rise Primary School (Springvale Campus),355a Springvale Rd       ,Springvale
Clarinda,Springvale Central,St  Josephs Catholic Primary School,corner Buckingham and St James Ave    ,Springvale
Clarinda,Springvale North,Whitworth Avenue Pre-School,75A Whitworth Ave       ,Springvale
Clarinda,Springvale West,Spring Parks Primary School - West Campus,24 Erica St       ,Springvale
Clarinda,Westall,Westall Primary School,17 Fairbank Rd       ,Clayton South
Cranbourne,Amstel,St Peter's Catholic Co-Ed College,1005 Cranbourne-Frankston Rd       ,Cranbourne West
Cranbourne,Casey Central,Alkira Secondary College,15 Nurture Ave       ,Cranbourne North
Cranbourne,Clyde,Clyde Primary School,Oroya Grove        ,Clyde
Cranbourne,Courtenay Gardens,Courtenay Gardens Primary School,Rosebank Drive        ,Cranbourne North
Cranbourne,Cranbourne,Cranbourne Primary School,Bakewell St        ,Cranbourne
Cranbourne,Cranbourne East,Cranbourne East Secondary College,50 Stately Drive       ,Cranbourne East
Cranbourne,Cranbourne North East,Cranbourne Carlisle Primary School,Springhill Drive        ,Cranbourne
Cranbourne,Cranbourne Park,Cranbourne Park Primary School,1 Tucker St       ,Cranbourne
Cranbourne,Cranbourne South,Cranbourne South Primary School,corner Pearcedale and Browns Roads     ,Cranbourne South
Cranbourne,Cranbourne West,Cranbourne West Primary School,110 Duff St       ,Cranbourne
Cranbourne,Lynbrook,Lynbrook Primary School,corner Paterson Drive and Ronans Retreat    ,Lynbrook
Cranbourne,Lyndhurst,Lyndhurst Secondary College,950 South Gippsland Hwy  (access via Gate 3 ,Cranbourne North
Cranbourne,Lyndhurst West,Lyndhurst Primary School,70 Brookwater Pde       ,Lyndhurst
Cranbourne,Rangebank,Rangebank Primary School,14-36 Lesdon Ave       ,Cranbourne
Croydon,Civic Square,Croydon Senior Citizens Centre,corner Mt Dandenong Rd and Civic Square   ,Croydon
Croydon,Croydon,Croydon Community School,177-181 Mt Dandenong Rd      ,Croydon
Croydon,Croydon Central,Melba College - Melba Junior Campus,Croydon Rd        ,Croydon
Croydon,Croydon East,Ruskin Park Primary School,Ruskin Ave        ,Croydon
Croydon,Croydon Hills,Croydon Hills Primary School,Campaspe Drive        ,Croydon Hills
Croydon,Croydon North,Brushy Creek Hall,435 Maroondah Hwy       ,Croydon North
Croydon,Croydon West,Ainslie Parklands Primary School,Hinkley Ave        ,Croydon
Croydon,Dorset,Dorset Primary School,Rescorla Ave        ,Croydon
Croydon,Kalinda,Kalinda Primary School,Kalinda Rd        ,Ringwood
Croydon,Kilsyth,Kilsyth Primary School,Durham Rd        ,Kilsyth
Croydon,Lincoln,Monkami Centre Inc,2 Dixon Ave       ,Croydon
Croydon,Manchester,Manchester Primary School,Monomeith St        ,Mooroolbark
Croydon,Mooroolbark,St Peter Julian Eymard Parish Centre,240 Hull Rd       ,Mooroolbark
Croydon,Mooroolbark South,Pembroke Primary School,Pembroke Rd        ,Mooroolbark
Croydon,Ringwood North,Ringwood North Primary School,172 Oban Rd       ,Ringwood
Croydon,Tinternvale,Tinternvale Primary School,Tintern Ave        ,Bayswater North
Croydon,Warranwood,Warranwood Primary School,1 Wellington Park Drive      ,Warranwood
Croydon,Yarra Road,Yarra Road Primary School,Yarra Rd        ,Croydon North
Dandenong,Cleeland,Dandenong High School - Cleeland Campus,23 Ann St       ,Dandenong
Dandenong,Dandenong Central,Dandenong Primary School,174-182 Foster St (access via New Street)   ,Dandenong
Dandenong,Dandenong North,Lyndale Greens Primary School,1 - 19 Oakwood Ave     ,Dandenong North
Dandenong,Dandenong South,Dandenong South Primary School,William Ave        ,Dandenong
Dandenong,Dandenong West,Dandenong West Primary School,32 Birdwood Ave (access from Benga Ave)   ,Dandenong
Dandenong,Doveton North,Doveton College,62 Tristania St (access via Laurel Ave)   ,Doveton
Dandenong,Doveton West,Holy Family Catholic Primary School,100 Power Rd       ,Doveton
Dandenong,Endeavour Hills,James Cook Primary School,James Cook Drive       ,Endeavour Hills
Dandenong,Endeavour Hills North,Chalcot Lodge Primary School,Primrose Hill Close       ,Endeavour Hills
Dandenong,Glen Eagles,Mossgiel Park Primary School,71-75 Scotsburn Way       ,Endeavour Hills
Dandenong,Lyndale,Lyndale Secondary College,170 Gladstone Rd       ,Dandenong North
Dandenong,Rosewood Downs,Rosewood Downs Primary School,Murray Rd        ,Dandenong North
Dandenong,Wooranna Park,Wooranna Park Primary School,89-105 Carlton Rd       ,Dandenong North
Dandenong,Yarraman Oaks,Yarraman Oaks Primary School,27 Liege Ave       ,Noble park
Eildon,Alexandra,Alexandra Secondary College,86 Downey St       ,Alexandra
Eildon,Arthurs Creek,Arthurs Creek Primary School,900 Arthurs Creek Rd      ,Arthurs Creek
Eildon,Badger Creek,Badger Creek Primary School,Badger Creek Rd       ,Badger Creek
Eildon,Bonnie Doon,Bonnie Doon Community Centre (Library),75 Arnot St       ,Bonnie Doon
Eildon,Buxton,Buxton Primary School,2208 Maroondah Hwy       ,Buxton
Eildon,Dixons Creek,Dixons Creek Primary School,1815 Melba Hwy       ,Dixons Creek
Eildon,Eildon,Eildon Community Centre,45 High St       ,Eildon
Eildon,Flowerdale,Flowerdale Primary School,3377 Whittlesea-Yea Rd       ,Flowerdale
Eildon,Gladysdale,Gladysdale Primary School,Little Yarra Rd       ,Gladysdale
Eildon,Glenburn,Glenburn Community Centre,3873 Melba Hwy       ,Glenburn
Eildon,Healesville,Healesville High School,10 Camerons Rd       ,Healesville
Eildon,Healesville Central,Healesville Memorial Hall,235-237 Maroondah Hwy       ,Healesville
Eildon,Hoddles Creek,Hoddles Creek Primary School,700 Gembrook-Launching Place Rd      ,Hoddles Creek
Eildon,Jamieson,Jamieson Memorial Hall,15 Perkins St       ,Jamieson
Eildon,Kangaroo Ground,Kangaroo Ground Primary School,10 Graham Rd       ,Kangaroo Ground
Eildon,Kinglake,Kinglake Primary School,McMahons Rd        ,Kinglake
Eildon,Kinglake West,Kinglake West Mechanics Institute Hall,1055 Whittlesea-Kinglake Rd       ,Kinglake West
Eildon,Launching Place,Launching Place Primary School,Carter St        ,Launching Place
Eildon,Mansfield,Mansfield Sporting Complex,35 Highett St       ,Mansfield
Eildon,Marysville,Marysville Primary School,15 Falls Rd       ,Marysville
Eildon,Merrijig,Merrijig Primary School,1820 Mt Buller Rd      ,Merrijig
Eildon,Merton,Merton Memorial Hall,17 Shaws Rd       ,Merton
Eildon,Millgrove,Millwarra Primary School (Millgrove Campus),Cavanagh Rd        ,Millgrove
Eildon,Narbethong,Narbethong Community Hall,606 Maroondah Hwy       ,Narbethong
Eildon,Panton Hill,Panton Hill Primary School,585 Kangaroo Ground - St Andrews Rd   ,Panton Hill
Eildon,Piries-Goughs Bay,Goughs Bay Fire Station,corner Walshs Rd and Howes Creek Rd   ,Goughs Bay
Eildon,St Andrews,St Andrews Primary School,Caledonia St        ,St Andrews
Eildon,Taggerty,Taggerty  Hall,5 Taggerty-Thornton Rd       ,Taggerty
Eildon,Thornton,Thornton Memorial Hall,1335 Taggerty-Thornton Rd       ,Thornton
Eildon,Tolmie,Tolmie Mechanics Institute & Recreation Reserve Hall,15 Tolmie Mahaikah Rd      ,Tolmie
Eildon,Toolangi,Toolangi Memorial Hall,1715 Healesville-Kinglake Rd       ,Toolangi
Eildon,Warburton,Warburton Primary School,Horners Rd        ,Warburton
Eildon,Warburton East,Millwarra Primary School (Warburton East Campus),Woods Point Rd       ,Warburton East
Eildon,Wesburn,Wesburn Primary School,2850 Warburton Hwy       ,Wesburn
Eildon,Woori Yallock,Woori Yallock Primary School,1360 Healesville-Koo Wee Rup Rd     ,Woori Yallock
Eildon,Yarck,Yarck CFA Fire Station,Maroondah Hwy        ,Yarck
Eildon,Yarra Glen,Yarra Glen Primary School,35 Symond St       ,Yarra Glen
Eildon,Yarra Junction,Yarraburn Centre,1 Park Rd       ,Yarra Junction
Eildon,Yea,Yea Shire Hall,High St        ,Yea
Eltham,Apollo Parkways,Diamond Valley Special Development School,14-24 Brentwick Drive       ,Greensborough
Eltham,Briar Hill,Briar Hill Primary School,25 Gladstone Rd       ,Briar Hill
Eltham,Eltham,Eltham Primary School,Dalton St        ,Eltham
Eltham,Eltham East,Eltham East Primary School,16 Grove St       ,Eltham
Eltham,Eltham North,Eltham North Primary School,35-47 Wattletree Rd       ,Eltham North
Eltham,Eltham Woods,Eltham Woods Pre-School,50A Frank St       ,Eltham
Eltham,Glen Katherine,St Helena Secondary College,Wallowa Rd        ,Eltham North
Eltham,Greenhills,Greenhills Primary School,Mine St        ,Greensborough
Eltham,Greensborough,Greensborough  Primary School,130 Grimshaw St       ,Greensborough
Eltham,Holy Trinity - Eltham North,Holy Trinity Primary School,94 Weidlich Rd       ,Eltham North
Eltham,Lower Plenty,Lower Plenty Primary School,126-144 Main Rd       ,Lower Plenty
Eltham,Montmorency,Montmorency Primary School,60A Rattray Rd       ,Montmorency
Eltham,Montmorency South,Montmorency South Primary School,64 Buena Vista Drive      ,Montmorency
Eltham,Research,Research Primary School,1570 Main Rd       ,Research
Eltham,Sherbourne,Sherbourne Primary School,17 Outlook Crescent       ,Briar Hill
Essendon,Ascot Vale Central,St Mary's Catholic Primary School,74 Roseberry St       ,Ascot Vale
Essendon,Ascot Vale East,Maribyrnong Road Uniting Church,Maribyrnong Rd        ,Moonee Ponds
Essendon,Ascot Vale West,15th Essendon Sea Scouts Hall,22 Woods St       ,Ascot Vale West
Essendon,Buckley Park,Buckley Park College,Cooper St        ,Essendon
Essendon,Essendon,St Therese's Catholic Primary School,corner Edward and Florence Streets     ,Essendon
Essendon,Essendon North,Essendon North Primary School,112 Keilor Rd       ,Essendon North
Essendon,Essendon West,Essendon Keilor College-VCE Essendon Campus,286 Buckley St       ,Essendon
Essendon,Flemington,Mount Alexander Secondary College,167-175 Mount Alexander Rd      ,Flemington
Essendon,Glenbervie,Essendon Primary School,Nicholson St        ,Essendon
Essendon,Moonee Ponds,Lowther Hall Anglican Grammar School,17 Leslie Rd       ,Moonee Ponds
Essendon,Moonee Ponds Central,Moonee Ponds Primary School,87 Wilson St       ,Moonee Ponds
Essendon,Moonee Ponds West,Moonee Ponds West Primary School,150 Athol St       ,Moonee Ponds
Essendon,Newmarket,Wingate Avenue Community Centre,13A Wingate Ave       ,Ascot vale
Essendon,Strathmore,Strathmore Primary School,Lloyd St        ,Strathmore
Essendon,Strathmore North,Strathmore North Primary School,Mascoma St        ,Strathmore
Euroa,Arcadia,Arcadia Community Centre,Main St        ,Arcadia
Euroa,Avenel,Avenel Primary School,39 Livingstone St       ,Avenel
Euroa,Baddaginnie,Peranbin Primary College,Clarendon St        ,Baddaginnie
Euroa,Benalla,Benalla Secondary College - Dunlop Campus,corner Barkly and Church Streets     ,Benalla
Euroa,Benalla West,Benalla Secondary College Faithful Campus,Faithful St        ,Benalla
Euroa,Broadford,Broadford Secondary College,Snodgrass St        ,Broadford
Euroa,Byrneside,Byrneside Public Hall,Midland Hwy        ,Byrneside
Euroa,Caniambo,Caniambo Public Hall,Bridge Rd        ,Caniambo
Euroa,Clonbinane,Clonbinane Community Hall,Linton St        ,Clonbinane
Euroa,Colbinabbin,Colbinabbin Primary School,Mitchell St        ,Colbinabbin
Euroa,Cooma,Cooma Uniting Church Hall,Kyabram-Cooma Rd        ,Cooma
Euroa,Devenish,Devenish Primary School,Main Rd        ,Devenish
Euroa,Dhurringile,Dhurringile Primary School,605 Langham Rd       ,Dhurringile
Euroa,Euroa,Wesley Hall Euroa,Bury St        ,Euroa
Euroa,Girgarre,Girgarre Public Hall,43356 Morgan Crescent       ,Girgarre
Euroa,Goorambat,Goorambat Public Hall,55 Halls Rd       ,Goorambat
Euroa,Heathcote,Heathcote RSL Hall,127 High St       ,Heathcote
Euroa,Kilmore,Assumption College,37-43 Sutherland St       ,Kilmore
Euroa,Longwood,Longwood Community Centre,2A Down St       ,Longwood
Euroa,Lurg,Lurg Public Hall,Winton-Lurg Rd        ,Lurg
Euroa,Merrigum,Merrigum Primary School,Judd Ave        ,Merrigum
Euroa,Murchison,Murchison Community Centre,14 Watson St       ,Murchison
Euroa,Nagambie,Nagambie Senior Citizens Hall,358-360 High St       ,Nagambie
Euroa,Puckapunyal,Puckapunyal Neighbourhood Centre,Labuan St        ,Puckapunyal
Euroa,Pyalong,Pyalong Primary School,43387 Bourke St       ,Pyalong
Euroa,Redesdale,Redesdale Public Hall,Kyneton-Redesdale Rd        ,Redesdale
Euroa,Ruffy,Ruffy Public Hall,Nolans Rd        ,Ruffy
Euroa,Rushworth,Rushworth P-12 College,Heily St        ,Rushworth
Euroa,Seymour,Anglican Parish Hall,2 Anzac Ave       ,Seymour
Euroa,Seymour East,Seymour College,Loco St        ,Seymour
Euroa,Stanhope,Stanhope Public Hall,Godley Place        ,Stanhope
Euroa,Strathbogie,Strathbogie Memorial Hall,29 Main St       ,Strathbogie
Euroa,Swanpool,Swanpool Football Club,Swanpool Lima Rd       ,Swanpool
Euroa,Tallarook,Tallarook Primary School,52 Main Rd       ,Tallarook
Euroa,Tatong,Tatong Memorial Hall,Tiger Hill Rd       ,Tatong
Euroa,Thoona,Thoona Primary School,15 Johnston St       ,Thoona
Euroa,Tooborac,Tooborac Primary School,Northern Hwy        ,Tooborac
Euroa,Toolleen,Toolleen Uniting Church Hall,Toolleen-Cornella Rd        ,Toolleen
Euroa,Violet Town,Violet Town Community Complex,35 Cowslip St       ,Violet Town
Euroa,Wandong,Wandong Primary School,39 Rail St       ,Wandong
Evelyn,Bimbadeen,Bimbadeen Heights Primary School,Hayrick Lane        ,Mooroolbark
Evelyn,Chirnside Park,Chirnside Park Primary School,66 Kimberley Drive       ,Chirnside Park
Evelyn,Coldstream,Coldstream Community Centre,Kelso St        ,Coldstream
Evelyn,Croydon North,Brushy Creek Hall,435 Maroondah Hwy       ,Croydon North
Evelyn,Gruyere,Gruyere Primary School,99 Killara Rd       ,Gruyere
Evelyn,Lilydale,St Patrick's Community Centre,Jones St        ,Lilydale
Evelyn,Lilydale Heights,Lilydale Heights College,17 Nelson Rd       ,Lilydale
Evelyn,Lilydale Lake,Lilydale Baptist Church,305 Swansea Rd       ,Lilydale
Evelyn,Lilydale West,Lilydale West Primary School,Bowen Rd        ,Lilydale
Evelyn,Manchester,Manchester Primary School,Monomeith St        ,Mooroolbark
Evelyn,Mount Evelyn,Reformed Church of Mount Evelyn,45-47 Birmingham Rd       ,Mount Evelyn
Evelyn,Mt Evelyn South,Mount Evelyn Primary School,33 Monbulk Rd       ,Mount Evelyn
Evelyn,Rolling Hills,Rolling Hills Primary School,52 Landscape Drive       ,Mooroolbark
Evelyn,Seville,Seville Primary School,639 Warburton Hwy       ,Seville
Evelyn,Wandin Yallock,Wandin Yallock Primary School,105 Beenak Rd       ,Wandin North
Ferntree Gully,Fairhills,Fairhills Primary School,Manuka Drive        ,Ferntree Gully
Ferntree Gully,Ferntree Gully,Ferntree Gully Senior Citizens Hall,160 Underwood Rd       ,Ferntree Gully
Ferntree Gully,Ferntree Gully Central,Ferntree Gully Community Centre,1010 Burwood Hwy       ,Ferntree Gully
Ferntree Gully,Ferntree Gully North,Glengollan Village Clubrooms,Hutton Ave        ,Ferntree Gully
Ferntree Gully,Ferntree Gully West,Wattleview Primary School,Wattletree Rd        ,Ferntree Gully
Ferntree Gully,Flamingo,The Knox School,220 Burwood Hwy       ,Wantirna South
Ferntree Gully,Knox Gardens,Knox Gardens Primary School,Argyle Way        ,Wantirna South
Ferntree Gully,Knox Park,Knox Park Primary School,Kathryn Rd        ,Knoxfield
Ferntree Gully,Knoxfield North,Kent Park Primary School,Greenaway Drive        ,Ferntree Gully
Ferntree Gully,Mountain Gate,Mountain Gate Primary School,Adele Ave        ,Ferntree Gully
Ferntree Gully,Scoresby,St Jude's Parish Centre,49 George St (access via Stud Road)   ,Scoresby
Ferntree Gully,Studfield East,Knox Central Primary School,Darwin Rd        ,Boronia West
Ferntree Gully,Templeton,Templeton Primary School,Crestdale Rd        ,Wantirna
Ferntree Gully,Wantirna,Wantirna Primary School,120 Mountain Hwy       ,Wantirna
Ferntree Gully,Wantirna North,Wantirna College,Harold St        ,Wantirna
Ferntree Gully,Wantirna South,Wantirna South Primary School,Tyner Rd        ,Wantirna
Ferntree Gully,Wantirna West,St Luke's Primary School,25 Stokes Rd       ,Wantirna
Footscray,Ardeer,Ardeer Primary School,Suspension St        ,Ardeer
Footscray,Ardeer South,Ardeer South Primary School,59-75 Murray St       ,Sunshine West
Footscray,Footscray,Gilmore Girls College,298 Barkly St       ,Footscray
Footscray,Footscray North,YMCA,corner Market and Essex Streets     ,Footscray
Footscray,Footscray Park,Angliss Senior Citizens Hall,24 Vipont St       ,Footscray
Footscray,Glengala,Glengala Community Centre Hall,corner Glengala Rd and Simmie St    ,Sunshine West
Footscray,Glengala South,Sunshine Special Development School,Ivory Court (access via Mounsey Street)    ,Sunshine West
Footscray,Hyde,Footscray City Primary School,Hyde St        ,Footscray
Footscray,Kingsville West,Kingsville Kindergarten,35A Roberts St       ,West Footscray
Footscray,Maidstone,Footscray North Primary School,Rosamond Rd        ,Footscray
Footscray,Maidstone West,Dobson Kindergarten,23-25 Burns St (access via Sonley Street)   ,Maidstone
Footscray,Maribyrnong River,Maribyrnong River Community Centre,9 Randall St       ,Maribyrnong
Footscray,Sunshine,Sunshine Primary School,69 Hampshire Rd       ,Sunshine
Footscray,Sunvale,Sunshine Harvester School,132 Hertford Rd       ,Sunshine
Footscray,Tottenham North,Dinjerra Primary School,44 South Rd       ,Braybrook
Footscray,West Footscray,Footscray West  Primary School,Argyle St        ,West Footscray
Forest Hill,Blackburn South,St Luke's Roman Catholic School,46 Orchard Grove       ,Blackburn South
Forest Hill,Burwood Heights,Burwood Heights Primary School,corner Mahoneys and Hawthorn Roads     ,Burwood East
Forest Hill,Camelot,Camelot Rise Primary School,Galahad Crescent        ,Glen Waverley
Forest Hill,Charlesworth Park,Livingstone Primary School,Livingstone Rd        ,Vermont South
Forest Hill,Eastmont,St James Primary School,51 Centre Rd       ,Vermont
Forest Hill,Forest Hill,Holbury Childrens Centre,29 Raleigh St       ,Blackburn South
Forest Hill,Glen Waverley,Glen Waverley Primary School,774 High St Rd      ,Glen Waverley
Forest Hill,Highvale,Highvale Primary School,33 Ashton St       ,Glen Waverley
Forest Hill,Manooka,Burwood East Special Developmental School,18 Manooka St       ,Burwood East
Forest Hill,Mitcham South,Rangeview Primary School,27 Churinga Ave       ,Mitcham
Forest Hill,Morack,Vermont Secondary College,27-63 Morack Rd       ,Vermont
Forest Hill,Nunawading South,Mt Pleasant Road Primary School,Mt Pleasant Rd       ,Nunawading
Forest Hill,Parkmore,Parkmore Primary School,Jolimont Rd        ,Forest Hill
Forest Hill,Tally Ho,East Burwood Hall,310 Burwood Hwy       ,Burwood East
Forest Hill,Vermont North,1st Vermont Scout Group,483-485 Canterbury Rd       ,Vermont
Forest Hill,Warrawong,Blackburn English Language School,120 Eley Rd       ,Burwood East
Forest Hill,Weeden Heights,Weeden Heights Primary School,43-51 Weeden Drive       ,Vermont South
Frankston,Aldercourt,Aldercourt Primary School,Silver Ave (access via Wallowa Ave)    ,Frankston North
Frankston,Baden Powell,Baden Powell Pre-School,Humphries Rd        ,Frankston South
Frankston,Ballam Park,McClelland College,31 Belar Ave (access via Alexander Crescent)   ,Frankston
Frankston,Bruce Park,Bruce Park Hall,Margate Ave        ,Frankston
Frankston,Derinya,Derinya Primary School,Overport Rd        ,Frankston South
Frankston,Frankston,St Francis Xavier Primary School,8 Park St       ,Frankston
Frankston,Frankston Beach,St Pauls Anglican Church Hall,corner Bay and High Streets     ,Frankston
Frankston,Frankston East,Frankston East Primary School,Ashleigh Ave        ,Frankston
Frankston,Frankston Forest,Mahogany Rise Primary School,Forster Ave        ,Frankston North
Frankston,Frankston Heights,Frankston Heights Primary School,10 Kalmia St       ,Frankston
Frankston,Frankston Rail,Chisholm Institute,Fletcher Rd        ,Frankston
Frankston,Frankston South,Frankston High School,Towerhill Rd        ,Frankston
Frankston,John Paul College,John Paul College,McMahons Rd        ,Frankston
Frankston,Kananook,Kananook Primary School,22 Wells Rd (access via Lyster Close)   ,Seaford
Frankston,Karingal Heights,Karingal Heights Primary School,Havana Crescent        ,Frankston
Frankston,Kingsley Park,Kingsley Park Primary School,Franciscan Ave        ,Frankston
Frankston,Mt Erin,Mount Erin College,Robinsons Rd        ,Frankston South
Geelong,Aberdeen,St John's Lutheran Primary School,31-33 Aberdeen St       ,Newtown
Geelong,Barwon,South Geelong Primary School,200 Yarra St       ,Geelong
Geelong,Belmont,Belmont High School,12 Rotherham St       ,Belmont
Geelong,Belmont North,Belmont Primary School,51 Mount Pleasant Rd      ,Belmont
Geelong,Belmont West,Clairvaux Catholic School Hall,45 Reynolds Rd       ,Belmont
Geelong,Britannia,St Patrick's Catholic Primary School,43425 Petrel St       ,Geelong West
Geelong,Chilwell,Chilwell Primary School,313a Pakington St       ,Newtown
Geelong,Fyans Park,St Joseph's College,135 Aphrasia St       ,Newtown
Geelong,Geelong,Geelong High School,385 Ryrie St       ,Geelong East
Geelong,Geelong East,Geelong East Primary School,184 Boundary Rd       ,Geelong East
Geelong,Geelong West,Geelong West Town Hall (Supper Room),153A Pakington St       ,Geelong West
Geelong,Kardinia Park,Kardinia Park Senior Citizens Club,450 Moorabool St       ,South Geelong
Geelong,Kidman,Oberon High School,12 Pickett Crescent (access via Kidman Ave)   ,Belmont
Geelong,Manifold Heights,Manifold Heights Primary School,20 Strachan Ave       ,Manifold Heights
Geelong,Manifold Heights West,Western Heights Uniting Church,27-31 Douglass St       ,Herne Hill
Geelong,Newcomb,Newcomb Park Primary School,7 Richard St       ,Newcomb
Geelong,Newcomb South,Newcomb Secondary College,81-85 Bellarine Hwy       ,Newcomb
Geelong,Oberon,Oberon Primary School,28 Dorothy Ave       ,Belmont
Geelong,Shannon,Newtown Primary School,157 Aberdeen St       ,Newtown
Geelong,St Albans Park,St Albans Uniting Church Hall,276-282 Wilsons Rd       ,St Albans Park
Geelong,Thomson,East Geelong Senior Citizens Club,2B Godfrey St       ,Geelong East
Geelong,Whittington,Bellarine Living & Learning Centre,20 Worden Court (access via Solar Drive)   ,Whittington
Geelong,Whittington South,St Paul's  Anglican Church Hall,corner Wilsons and Townsend Roads     ,Whittington
Gembrook,Avebury,Timbarra Community Hall,Timbarra Way        ,Berwick
Gembrook,Beaconsfield,Beaconsfield Primary School,corner Old Princes Hwy and Lyle Ave   ,Beaconsfield
Gembrook,Beaconsfield Upper,Beaconsfield Upper Primary School,40-42 Stoney Creek Rd (access via Burton Road)  ,Beaconsfield Upper
Gembrook,Berwick,Berwick Secondary College,65 Manuka Rd       ,Berwick
Gembrook,Berwick Lodge,Berwick Lodge Primary School,145 Mansfield St       ,Berwick
Gembrook,Cockatoo,Cockatoo Community Complex,95 Pakenham Rd       ,Cockatoo
Gembrook,Emerald,Emerald Primary School,Heroes Ave        ,Emerald
Gembrook,Gembrook,Gembrook Primary School,50 Main Rd       ,Gembrook
Gembrook,Harkaway,Harkaway Primary School,65-67 King Rd       ,Harkaway
Gembrook,Officer,Officer Primary School,13-23 Tivendale Rd       ,Officer
Gembrook,Pakenham,Pakenham Secondary College,1020 Princes Hwy       ,Pakenham
